5HT1	4IAQ
5HT2A	5TVN
5HT3	4PIR
Achase_HR	5HF5
ADEN1HMN	5UEN
ALPHA1	3NYA
AMPA	5L1B
AMPKα1β1γ1	5T5T
ANF1	1YK0
APAMIN	5VA1
AT_1H	5UNF
AurA	4ZTQ
BDZ_P	4TK1
BETA1_HMNCELLS	4GPO
BETA2_HR_V3	5D6L
BETA-SECRETASE	5V0N
C5A	5HCC
CAR_Antagonist	1XNX
Caspase-1	5FNA
Caspase-2	1PYO
Caspase	2C2Z
Caspase-3	1I3O
CDK2_CycA	5NEV
CNTX	1T0J
COMT	3NWE
COX1	1DIY
COX2	5KIR
cRAF	3OMV
CRF	3EHS
CYP1A1	4I8V
CYP1A2	2HI4
CYP2A6(h)	4RUI
CYP2B6(h)	3IBD
CYP2C19(h)	4GQS
CYP2C9(h)	4NZ2
CYP2D6(h)	5TFT
CYP3A4(h)	5TE8
DAT	4XNU
DELTA1_HR	4RWA
DLTZM	4HKR
EGFR	5U8L
Elastase	5A8X
EPHA1	3HIL
EphA2	5I9U
EphB2	3ZFM
ER_B	1HJ1
ER_H	5U2D
ER_M	2QR9
ETA_H	5GLH
ETB_H	5GLH
FGFR1	5UQ0
FK506	5I7P
FLT1	5T89
FLT4	4BSK
FMS	4R7H
FORSKOLIN	1AB8
FXR_Ag_TRF	5IAW
FXR_ANT_SAP	4OIV
GABAA	4MS3
GABA_ALPHA1	4TK1
GABA_ALPHA5	4TK1
GABA_ALPHA6	4TK1
GABAB	4MQE
GLIB	5VA1
GR_H	5UFS
hCAR_SAP	1XNX
HDAC3	4A69
HDAC6	5EEF
HERG	5VA1
hRAR_SAP	5LYQ
I2	A2AR
IGF1R	3LVP
JAK2	5CF4
Jnk2a2	4W4W
KAINIC	5MFQ
KAPPA	4DJH
Kin-Ck1D	4HGT
KIN-FYN	4ZNX
KIN-GSK3b	5HLN
KIN-IKKa	5TQW
KIN-InsR	5E1S
KIN-Lyn	4TZI
KIN-MAPK3	4QTB
KIN-MAPKAPK2	3M2W
KIN-MET	5HTI
KIN-MSK1	3KN5
KIN-PKA	5IZF
KIN-PKBa	4GV1
KIN-PKBb	4EKK
KIN-Src	5K9I
KIN-Tie2	1FVR
LMPTP-A	4ETM
M1_HR	5CXV
M2_HR	4MQS
M3_HR	4U14
M4_HR	5DSG
MAO-A(Central)	2BXS
MAO-A(Peripheral)	2Z5X
MAO-B(Central)	2C67
MAO-B(Peripheral)	4CRT
MAPK1_ERK2	5NGU
mGluR1	4OR2
mGluR5	5CGC
MK801	5DDN
MMP13	4JP4
MMP1	3SHI
MMP2	3AYU
MMP3	4G9L
MMP7	2Y6C
MMP9	5TH6
MRrat	5L7E
MU_HR	5C1M
NEK2	5M57
NIC_BNTX_SENS_NEUR	3SQ9
NICOhmn	5T90
NITREN	4DEY
NMDA	5DDN
NOS	4D10
NT	5T04
NT_HR	5T04
ORL1_HR	5DHH
OXYTOCIN	1NPO
P2Y	4XNV
PAF	3F96
PAK4	5I0B
PDE10A1	5UWF
PDE4A1A	2QYK
PDE5A1	4OEW
PI3Ka	5SW8
PLASMA	3F96
PP1a	5I1B
PP2a	4IYP
PP-2Ca_new	3QN1
PPAR-ALPHA	5HYK
PPAR_GAMMA	5TTO
PP-VHR	3F81
PR_H	4OAR
PTEN	1D5R
PTP1b	5T19
PTPb	2AHS
PTP_BAS	5GLJ
PTP-CD45(h)	5FMV
PTP-D2	2NLK
PTP-MEG1	2I75
PTP-MEG2	4GE2
PTP-MU	2V5Y
PTP_PEST	5HDE
PTP-SHP1	4GRY
PTP-SHP2	4PVG
PTP-T	1L8K
PXR	5A86
RARa_h_Ag_TRF	5LYQ
ROCK1	5HVU
SERT	5I6X
SERT_H	5I6X
Sirt1	4ZZH
Sirt2	5G4C
Sirt3	5BWN
SODIUM2	5VB8
STRYCH	5CFB
Tra	4LNW
TRH	2XWT
TrkA	5JFS
VEGFR2	4AGD
